Volatility 3 Framework 2.26.2

PID	Process	Base	Size	Name	Path	LoadTime	File output

416	csrss.exe	0x7ff7d4cf0000	0x7000	csrss.exe	C:\Windows\system32\csrss.exe	2024-07-04 10:44:50.000000 UTC	Disabled
416	csrss.exe	0x7fffedbd0000	0x1f8000	-	-	2024-07-04 10:44:50.000000 UTC	Disabled
416	csrss.exe	0x7fffeb2d0000	0x18000	CSRSRV.dll	C:\Windows\SYSTEM32\CSRSRV.dll	2024-07-04 10:44:50.000000 UTC	Disabled
416	csrss.exe	0x7fffeb2b0000	0x16000	basesrv.DLL	C:\Windows\system32\basesrv.DLL	2024-07-04 10:44:50.000000 UTC	Disabled
416	csrss.exe	0x7fffeb290000	0x15000	winsrv.DLL	C:\Windows\system32\winsrv.DLL	2024-07-04 10:44:50.000000 UTC	Disabled
416	csrss.exe	0x7fffeb4a0000	0x2ce000	kernelbase.dll	C:\Windows\SYSTEM32\kernelbase.dll	2024-07-04 10:44:50.000000 UTC	Disabled
416	csrss.exe	0x7fffec050000	0xbd000	kernel32.dll	C:\Windows\SYSTEM32\kernel32.dll	2024-07-04 10:44:50.000000 UTC	Disabled
416	csrss.exe	0x7fffeb260000	0x23000	winsrvext.dll	C:\Windows\SYSTEM32\winsrvext.dll	2024-07-04 10:44:50.000000 UTC	Disabled
416	csrss.exe	0x7fffebc40000	0x354000	combase.dll	C:\Windows\SYSTEM32\combase.dll	2024-07-04 10:44:50.000000 UTC	Disabled
416	csrss.exe	0x7fffed140000	0x1a0000	USER32.dll	C:\Windows\system32\USER32.dll	2024-07-04 10:44:50.000000 UTC	Disabled
416	csrss.exe	0x7fffeb2f0000	0x4e000	cfgmgr32.dll	C:\Windows\SYSTEM32\cfgmgr32.dll	2024-07-04 10:44:50.000000 UTC	Disabled
416	csrss.exe	0x7fffec420000	0x2a000	GDI32.dll	C:\Windows\system32\GDI32.dll	2024-07-04 10:44:50.000000 UTC	Disabled
416	csrss.exe	0x7fffeb470000	0x22000	win32u.dll	C:\Windows\system32\win32u.dll	2024-07-04 10:44:50.000000 UTC	Disabled
416	csrss.exe	0x7fffeb340000	0x100000	ucrtbase.dll	C:\Windows\SYSTEM32\ucrtbase.dll	2024-07-04 10:44:50.000000 UTC	Disabled
416	csrss.exe	0x7fffed410000	0x125000	RPCRT4.dll	C:\Windows\system32\RPCRT4.dll	2024-07-04 10:44:50.000000 UTC	Disabled
416	csrss.exe	0x7fffeba70000	0x10b000	gdi32full.dll	C:\Windows\SYSTEM32\gdi32full.dll	2024-07-04 10:44:50.000000 UTC	Disabled
416	csrss.exe	0x7fffeb960000	0x9d000	msvcp_win.dll	C:\Windows\system32\msvcp_win.dll	2024-07-04 10:44:50.000000 UTC	Disabled
416	csrss.exe	0x7fffeb250000	0xd000	sxssrv.DLL	C:\Windows\system32\sxssrv.DLL	2024-07-04 10:44:50.000000 UTC	Disabled
416	csrss.exe	0x7fffeb090000	0xa2000	sxs.dll	C:\Windows\system32\sxs.dll	2024-07-04 10:44:50.000000 UTC	Disabled
416	csrss.exe	0x7fffeb770000	0x82000	bcryptPrimitives.dll	C:\Windows\SYSTEM32\bcryptPrimitives.dll	2024-07-04 10:44:50.000000 UTC	Disabled
512	csrss.exe	0x7ff7d4cf0000	0x7000	csrss.exe	C:\Windows\system32\csrss.exe	2024-07-04 10:44:50.000000 UTC	Disabled
512	csrss.exe	0x7fffedbd0000	0x1f8000	-	-	2024-07-04 10:44:50.000000 UTC	Disabled
512	csrss.exe	0x7fffeb2d0000	0x18000	CSRSRV.dll	C:\Windows\SYSTEM32\CSRSRV.dll	2024-07-04 10:44:50.000000 UTC	Disabled
512	csrss.exe	0x7fffeb2b0000	0x16000	basesrv.DLL	C:\Windows\system32\basesrv.DLL	2024-07-04 10:44:50.000000 UTC	Disabled
512	csrss.exe	0x7fffeb290000	0x15000	winsrv.DLL	C:\Windows\system32\winsrv.DLL	2024-07-04 10:44:50.000000 UTC	Disabled
512	csrss.exe	0x7fffeb4a0000	0x2ce000	-	-	2024-07-04 10:44:50.000000 UTC	Disabled
512	csrss.exe	0x7fffec050000	0xbd000	-	-	2024-07-04 10:44:50.000000 UTC	Disabled
512	csrss.exe	0x7fffeb260000	0x23000	-	-	2024-07-04 10:44:50.000000 UTC	Disabled
512	csrss.exe	0x7fffed140000	0x1a0000	USER32.dll	C:\Windows\system32\USER32.dll	2024-07-04 10:44:50.000000 UTC	Disabled
512	csrss.exe	0x7fffebc40000	0x354000	combase.dll	C:\Windows\SYSTEM32\combase.dll	2024-07-04 10:44:50.000000 UTC	Disabled
512	csrss.exe	0x7fffec420000	0x2a000	GDI32.dll	C:\Windows\system32\GDI32.dll	2024-07-04 10:44:50.000000 UTC	Disabled
512	csrss.exe	0x7fffeb2f0000	0x4e000	-	-	2024-07-04 10:44:50.000000 UTC	Disabled
512	csrss.exe	0x7fffeb470000	0x22000	win32u.dll	C:\Windows\system32\win32u.dll	2024-07-04 10:44:50.000000 UTC	Disabled
512	csrss.exe	0x7fffeb340000	0x100000	-	-	2024-07-04 10:44:50.000000 UTC	Disabled
512	csrss.exe	0x7fffed410000	0x125000	RPCRT4.dll	C:\Windows\system32\RPCRT4.dll	2024-07-04 10:44:50.000000 UTC	Disabled
512	csrss.exe	0x7fffeba70000	0x10b000	-	-	2024-07-04 10:44:50.000000 UTC	Disabled
512	csrss.exe	0x7fffeb960000	0x9d000	-	-	2024-07-04 10:44:50.000000 UTC	Disabled
512	csrss.exe	0x7fffeb250000	0xd000	sxssrv.DLL	C:\Windows\system32\sxssrv.DLL	2024-07-04 10:44:50.000000 UTC	Disabled
512	csrss.exe	0x7fffeb090000	0xa2000	sxs.dll	C:\Windows\system32\sxs.dll	2024-07-04 10:44:50.000000 UTC	Disabled
512	csrss.exe	0x7fffeb770000	0x82000	bcryptPrimitives.dll	C:\Windows\SYSTEM32\bcryptPrimitives.dll	2024-07-04 10:44:50.000000 UTC	Disabled
512	csrss.exe	0x7fffeb440000	0x27000	Bcrypt.dll	C:\Windows\system32\Bcrypt.dll	2024-07-04 10:45:23.000000 UTC	Disabled
512	csrss.exe	0x7fffe09e0000	0x27f000	DWrite.dll	C:\Windows\system32\DWrite.dll	2024-07-15 04:14:56.000000 UTC	Disabled
512	csrss.exe	0x7fffed620000	0x9e000	msvcrt.dll	C:\Windows\system32\msvcrt.dll	2024-07-15 04:14:56.000000 UTC	Disabled
588	winlogon.exe	0x7ff607030000	0xe3000	winlogon.exe	C:\Windows\system32\winlogon.exe	2024-07-04 10:44:50.000000 UTC	Disabled
588	winlogon.exe	0x7fffedbd0000	0x1f8000	-	-	2024-07-04 10:44:50.000000 UTC	Disabled
588	winlogon.exe	0x7fffec050000	0xbd000	KERNEL32.DLL	C:\Windows\System32\KERNEL32.DLL	2024-07-04 10:44:50.000000 UTC	Disabled
588	winlogon.exe	0x7fffeb4a0000	0x2ce000	KERNELBASE.dll	C:\Windows\System32\KERNELBASE.dll	2024-07-04 10:44:50.000000 UTC	Disabled
588	winlogon.exe	0x7fffed620000	0x9e000	msvcrt.dll	C:\Windows\System32\msvcrt.dll	2024-07-04 10:44:50.000000 UTC	Disabled
588	winlogon.exe	0x7fffed0a0000	0x9c000	sechost.dll	C:\Windows\System32\sechost.dll	2024-07-04 10:44:50.000000 UTC	Disabled
588	winlogon.exe	0x7fffed410000	0x125000	RPCRT4.dll	C:\Windows\System32\RPCRT4.dll	2024-07-04 10:44:50.000000 UTC	Disabled
588	winlogon.exe	0x7fffebc40000	0x354000	combase.dll	C:\Windows\System32\combase.dll	2024-07-04 10:44:50.000000 UTC	Disabled
588	winlogon.exe	0x7fffeb340000	0x100000	ucrtbase.dll	C:\Windows\System32\ucrtbase.dll	2024-07-04 10:44:50.000000 UTC	Disabled
588	winlogon.exe	0x7fffec450000	0xae000	advapi32.dll	C:\Windows\System32\advapi32.dll	2024-07-04 10:44:50.000000 UTC	Disabled
588	winlogon.exe	0x7fffeb160000	0x4b000	powrprof.dll	C:\Windows\SYSTEM32\powrprof.dll	2024-07-04 10:44:50.000000 UTC	Disabled
588	winlogon.exe	0x7fffeb140000	0x12000	UMPDC.dll	C:\Windows\system32\UMPDC.dll	2024-07-04 10:44:50.000000 UTC	Disabled
588	winlogon.exe	0x7fffeb230000	0x1f000	profapi.dll	C:\Windows\system32\profapi.dll	2024-07-04 10:44:50.000000 UTC	Disabled
588	winlogon.exe	0x7fffed140000	0x1a0000	user32.dll	C:\Windows\System32\user32.dll	2024-07-04 10:44:50.000000 UTC	Disabled
588	winlogon.exe	0x7fffeb470000	0x22000	win32u.dll	C:\Windows\System32\win32u.dll	2024-07-04 10:44:50.000000 UTC	Disabled
588	winlogon.exe	0x7fffec420000	0x2a000	GDI32.dll	C:\Windows\System32\GDI32.dll	2024-07-04 10:44:50.000000 UTC	Disabled
588	winlogon.exe	0x7fffeba70000	0x10b000	gdi32full.dll	C:\Windows\System32\gdi32full.dll	2024-07-04 10:44:50.000000 UTC	Disabled
588	winlogon.exe	0x7fffeb960000	0x9d000	msvcp_win.dll	C:\Windows\System32\msvcp_win.dll	2024-07-04 10:44:50.000000 UTC	Disabled
588	winlogon.exe	0x7fffec500000	0x30000	IMM32.DLL	C:\Windows\System32\IMM32.DLL	2024-07-04 10:44:50.000000 UTC	Disabled
588	winlogon.exe	0x7fffeb030000	0x5a000	winsta.dll	C:\Windows\SYSTEM32\winsta.dll	2024-07-04 10:44:50.000000 UTC	Disabled
588	winlogon.exe	0x7fffeb1e0000	0x32000	SspiCli.dll	C:\Windows\system32\SspiCli.dll	2024-07-04 10:44:50.000000 UTC	Disabled
588	winlogon.exe	0x7fffeb1b0000	0x2e000	USERENV.dll	C:\Windows\system32\USERENV.dll	2024-07-04 10:44:50.000000 UTC	Disabled
588	winlogon.exe	0x7fffea030000	0x29000	profext.dll	C:\Windows\SYSTEM32\profext.dll	2024-07-04 10:44:50.000000 UTC	Disabled
588	winlogon.exe	0x7fffe9ff0000	0x33000	ntmarta.dll	C:\Windows\SYSTEM32\ntmarta.dll	2024-07-04 10:44:50.000000 UTC	Disabled
588	winlogon.exe	0x7fffeb440000	0x27000	Bcrypt.dll	C:\Windows\System32\Bcrypt.dll	2024-07-04 10:44:50.000000 UTC	Disabled
588	winlogon.exe	0x7fffeb770000	0x82000	bcryptprimitives.dll	C:\Windows\System32\bcryptprimitives.dll	2024-07-04 10:44:50.000000 UTC	Disabled
588	winlogon.exe	0x7fffe9f40000	0xa1000	firewallapi.dll	C:\Windows\SYSTEM32\firewallapi.dll	2024-07-04 10:44:50.000000 UTC	Disabled
588	winlogon.exe	0x7fffea710000	0xca000	DNSAPI.dll	C:\Windows\system32\DNSAPI.dll	2024-07-04 10:44:50.000000 UTC	Disabled
588	winlogon.exe	0x7fffea6d0000	0x3b000	IPHLPAPI.DLL	C:\Windows\SYSTEM32\IPHLPAPI.DLL	2024-07-04 10:44:50.000000 UTC	Disabled
588	winlogon.exe	0x7fffec320000	0x8000	NSI.dll	C:\Windows\System32\NSI.dll	2024-07-04 10:44:50.000000 UTC	Disabled
588	winlogon.exe	0x7fffe9f00000	0x3a000	fwbase.dll	C:\Windows\system32\fwbase.dll	2024-07-04 10:44:50.000000 UTC	Disabled
588	winlogon.exe	0x7fffe8dc0000	0x22000	uxinit.dll	C:\Windows\SYSTEM32\uxinit.dll	2024-07-04 10:44:50.000000 UTC	Disabled
588	winlogon.exe	0x7fffec610000	0xad000	shcore.dll	C:\Windows\System32\shcore.dll	2024-07-04 10:44:50.000000 UTC	Disabled
588	winlogon.exe	0x7fffe90f0000	0x2f000	dwmapi.dll	C:\Windows\system32\dwmapi.dll	2024-07-04 10:44:50.000000 UTC	Disabled
588	winlogon.exe	0x7fffe8d20000	0x9e000	UxTheme.dll	C:\Windows\system32\UxTheme.dll	2024-07-04 10:44:50.000000 UTC	Disabled
588	winlogon.exe	0x7fffeb800000	0x156000	CRYPT32.dll	C:\Windows\System32\CRYPT32.dll	2024-07-04 10:44:50.000000 UTC	Disabled
588	winlogon.exe	0x7fffeb020000	0xa000	DPAPI.dll	C:\Windows\system32\DPAPI.dll	2024-07-04 10:44:50.000000 UTC	Disabled
