Volatility 3 Framework 2.26.2

PID	Process	Offset	HandleValue	Type	GrantedAccess	Name

4	System	0xc90c0345b040	0x4	Process	0x1fffff	System Pid 4
4	System	0xc90c035c9140	0x8	Thread	0x1fffff	Tid 28 Pid 4
4	System	0xc90c0348e820	0xc	Mutant	0x1f0001	BcdSyncMutant
4	System	0xa00e81c8a8f0	0x10	Directory	0xf000f	-
4	System	0xa00e81c0b7b0	0x14	Directory	0xf000f	GLOBAL??
4	System	0xc90c034aa960	0x18	Partition	0x1f0003	MemoryPartition0
4	System	0xa00e81c6f690	0x1c	Directory	0xf000f	KernelObjects
4	System	0xc90c034914a0	0x20	Event	0x1f0003	LowPagedPoolCondition
4	System	0xc90c03491b20	0x24	Event	0x1f0003	HighPagedPoolCondition
4	System	0xc90c03491f20	0x28	Event	0x1f0003	LowNonPagedPoolCondition
4	System	0xc90c03491ba0	0x2c	Event	0x1f0003	HighNonPagedPoolCondition
4	System	0xc90c03491fa0	0x30	Event	0x1f0003	LowMemoryCondition
4	System	0xc90c034910a0	0x34	Event	0x1f0003	HighMemoryCondition
4	System	0xc90c034917a0	0x38	Event	0x1f0003	LowCommitCondition
4	System	0xc90c03491c20	0x3c	Event	0x1f0003	HighCommitCondition
4	System	0xc90c034918a0	0x40	Event	0x1f0003	MaximumCommitCondition
4	System	0xc90c03491220	0x44	Event	0x1f0003	MemoryErrors
4	System	0xc90c03491720	0x48	Event	0x1f0003	PhysicalMemoryChange
4	System	0xc90c035ce080	0x4c	Thread	0x1fffff	Tid 76 Pid 4
4	System	0xc90c0349e080	0x50	Process	0x1fffff	Registry Pid 92
4	System	0xa00e81db0930	0x54	Key	0x2001f	MACHINE\SYSTEM\CONTROLSET001\CONTROL\HIVELIST
4	System	0xa00e81c7c0c0	0x58	Key	0x0	-
4	System	0xc90c069e5de0	0x5c	ALPC Port	0x1f0001	-
4	System	0xc90c0963a080	0x60	Process	0x102a	msedge.exe Pid 1880
4	System	0xa00e81ccfe80	0x64	Key	0x20019	MACHINE\SYSTEM\CONTROLSET001\CONTROL\LEAPSECONDINFORMATION
4	System	0xa00e81cd0c50	0x68	Key	0x20019	MACHINE\SYSTEM\CONTROLSET001\CONTROL\NOTIFICATIONS
4	System	0xa00e81ccf710	0x6c	Key	0xf003f	MACHINE\SYSTEM\CONTROLSET001\CONTROL\SESSION MANAGER\MEMORY MANAGEMENT\PREFETCHPARAMETERS
4	System	0xa00e81cd0d60	0x70	Key	0x20019	MACHINE\SYSTEM\CONTROLSET001
4	System	0xa00e81db1810	0x74	Key	0x2001f	MACHINE\SYSTEM\SETUP
4	System	0xa00e81cecea0	0x78	Key	0xf003f	MACHINE\SYSTEM\CONTROLSET001
4	System	0xa00e81db1920	0x80	Key	0x11	MACHINE\SYSTEM\CONTROLSET001\CONTROL\POWER
4	System	0xc90c034bddf0	0x84	ALPC Port	0x1f0001	PowerPort
4	System	0xa00e81cec900	0x88	Key	0xf003f	USER
4	System	0xa00e81ccfc60	0x8c	Key	0xf003f	MACHINE\SYSTEM\DRIVERDATABASE
4	System	0xa00e81cecbd0	0x90	Key	0xf003f	MACHINE\SYSTEM
4	System	0xc90c034aebd0	0x94	Event	0x1f0003	-
4	System	0xa00e81ccfd70	0x98	Key	0xf003f	MACHINE\SYSTEM\CONTROLSET001\ENUM
4	System	0xa00e81cd04e0	0x9c	Key	0xf003f	MACHINE\SYSTEM\CONTROLSET001\CONTROL\DEVICECLASSES
4	System	0xa00e82a38550	0xa0	Key	0xf003f	MACHINE\SYSTEM\CONTROLSET001\CONTROL\DEVICECLASSES
4	System	0xa00e81db01c0	0xa4	Key	0xf003f	MACHINE\SYSTEM\CONTROLSET001\CONTROL\DEVICECONTAINERS
4	System	0xa00e81db03e0	0xa8	Key	0xf003f	MACHINE\SYSTEM\CONTROLSET001\CONTROL\CLASS
4	System	0xa00e81db0820	0xac	Key	0xf003f	MACHINE\SYSTEM\CONTROLSET001\CONTROL\DEVICEPANELS
4	System	0xa00e81c35c60	0xb0	Key	0xf003f	MACHINE\SYSTEM\CONTROLSET001\SERVICES
4	System	0xa00e81cd05f0	0xb4	Key	0xf003f	MACHINE\SYSTEM\HARDWARECONFIG
4	System	0xa00e82a39900	0xb8	Key	0x10	MACHINE\SYSTEM\CONTROLSET001\CONTROL\STORPORT
4	System	0xa00e82a39cc0	0xbc	Key	0xf003f	MACHINE\SYSTEM\CONTROLSET001\HARDWARE PROFILES
4	System	0xa00e851a0740	0xc0	SymbolicLink	0xf0001	ACPI#GenuineIntel_-_Intel64_Family_6_Model_165_-_Intel(R)_Core(TM)_i7-10750H_CPU_@_2.60GHz#_0#{97fadb10-4e33-40ae-359c-8bef029dbdd0}
