Volatility 3 Framework 2.26.2

Offset	Order	PID	Start	State	Type	Name	Display	Binary	Binary (Registry)	Dll

0x1c08fa91a50	656	N/A	SERVICE_DEMAND_START	SERVICE_STOPPED	SERVICE_WIN32_OWN_PROCESS	FileSyncHelper	FileSyncHelper	N/A	"C:\Program Files (x86)\Microsoft OneDrive\23.038.0219.0001\FileSyncHelper.exe"	-
0x1c08fa91a60	655	N/A	SERVICE_DEMAND_START	SERVICE_STOPPED	SERVICE_WIN32_OWN_PROCESS	OneDrive Updater Service	OneDrive Updater Service	N/A	"C:\Program Files (x86)\Microsoft OneDrive\23.038.0219.0001\OneDriveUpdaterService.exe"	-
0x1c08fa91e00	654	7460	SERVICE_AUTO_START	SERVICE_RUNNING	SERVICE_WIN32_OWN_PROCESS	ClickToRunSvc	Microsoft Office Click-to-Run Service	"C:\Program Files\Common Files\Microsoft Shared\ClickToRun\OfficeClickToRun.exe" /service	"C:\Program Files\Common Files\Microsoft Shared\ClickToRun\OfficeClickToRun.exe" /service	-
0x1c08fa8e060	653	N/A	SERVICE_DEMAND_START	SERVICE_RUNNING	SERVICE_KERNEL_DRIVER	BthPan	Bluetooth Device (Personal Area Network)	\Driver\BthPan	-	-
0x1c08fa8ce20	652	N/A	SERVICE_DEMAND_START	SERVICE_STOPPED	SERVICE_WIN32_OWN_PROCESS	MozillaMaintenance	Mozilla Maintenance Service	N/A	"C:\Program Files (x86)\Mozilla Maintenance Service\maintenanceservice.exe"	-
0x1c08fa904a0	651	3252	SERVICE_AUTO_START	SERVICE_RUNNING	SERVICE_WIN32_SHARE_PROCESS	WpnUserService_44b9d	Windows Push Notifications User Service_44b9d	C:\Windows\system32\svchost.exe -k UnistackSvcGroup	C:\Windows\system32\svchost.exe -k UnistackSvcGroup	-
0x1c08fd18de0	650	3252	SERVICE_DEMAND_START	SERVICE_RUNNING	SERVICE_WIN32_SHARE_PROCESS	UserDataSvc_44b9d	User Data Access_44b9d	C:\Windows\system32\svchost.exe -k UnistackSvcGroup	C:\Windows\system32\svchost.exe -k UnistackSvcGroup	-
0x1c08fd18bf0	649	3252	SERVICE_DEMAND_START	SERVICE_RUNNING	SERVICE_WIN32_SHARE_PROCESS	UnistoreSvc_44b9d	User Data Storage_44b9d	C:\Windows\system32\svchost.exe -k UnistackSvcGroup	C:\Windows\System32\svchost.exe -k UnistackSvcGroup	-
0x1c08fd18810	648	N/A	SERVICE_DEMAND_START	SERVICE_STOPPED	SERVICE_WIN32_SHARE_PROCESS	UdkUserSvc_44b9d	Udk User Service_44b9d	N/A	C:\Windows\system32\svchost.exe -k UdkSvcGroup	-
