Volatility 3 Framework 2.26.2

Plugin	Description	Created Date	Modified Date	Accessed Date	Changed Date

ScheduledTasks	ScheduledTasks: Creation Time for task {12514C9A-1DE5-40CE-B66C-D6838DA9A169} with trigger N/A	2024-07-04 10:34:35.000000 UTC	N/A	N/A	N/A
ScheduledTasks	ScheduledTasks: Creation Time for task {15E69FB7-BC19-4737-A3DF-0700D3959249} with trigger WNF state 7518bca3391e8b41	2024-07-04 10:34:44.000000 UTC	N/A	N/A	N/A
ScheduledTasks	ScheduledTasks: Creation Time for task {15E69FB7-BC19-4737-A3DF-0700D3959249} with trigger WNF state 7560bca322028f02	2024-07-04 10:34:44.000000 UTC	N/A	N/A	N/A
ScheduledTasks	ScheduledTasks: Creation Time for task {15E69FB7-BC19-4737-A3DF-0700D3959249} with trigger WNF state 7510bca3391e8b41	2024-07-04 10:34:44.000000 UTC	N/A	N/A	N/A
ScheduledTasks	ScheduledTasks: Creation Time for task {15E69FB7-BC19-4737-A3DF-0700D3959249} with trigger WNF state 3528bca32e1d8e0d	2024-07-04 10:34:44.000000 UTC	N/A	N/A	N/A
ScheduledTasks	ScheduledTasks: Creation Time for task {EC95F45C-0486-40E1-8938-20FE3E377E7D} with trigger N/A	2024-07-04 10:41:39.000000 UTC	N/A	N/A	N/A
ScheduledTasks	ScheduledTasks: Creation Time for task {4A0DEFDA-A2B8-4736-88E1-A578E00D9704} with trigger WNF state 7518bca324009615	2024-07-04 10:42:53.000000 UTC	N/A	N/A	N/A
ThrdScan	Thread: Tid 96 in Pid 92 (Offset 221053431980160)	2024-07-04 10:44:43.000000 UTC	1600-10-23 01:37:25.000000 UTC	N/A	N/A
ThrdScan	Thread: Tid 160 in Pid 4 (Offset 221053432098944)	2024-07-04 10:44:43.000000 UTC	1600-10-23 01:37:25.000000 UTC	N/A	N/A
ThrdScan	Thread: Tid 136 in Pid 4 (Offset 221053432107136)	2024-07-04 10:44:43.000000 UTC	1600-10-23 01:37:25.000000 UTC	N/A	N/A
ThrdScan	Thread: Tid 164 in Pid 4 (Offset 221053432115328)	2024-07-04 10:44:43.000000 UTC	1600-10-23 01:37:25.000000 UTC	N/A	N/A
ThrdScan	Thread: Tid 140 in Pid 4 (Offset 221053432123520)	2024-07-04 10:44:43.000000 UTC	1600-10-23 01:37:25.000000 UTC	N/A	N/A
ThrdScan	Thread: Tid 104 in Pid 4 (Offset 221053432139904)	2024-07-04 10:44:43.000000 UTC	1600-10-23 01:37:25.000000 UTC	N/A	N/A
ThrdScan	Thread: Tid 100 in Pid 4 (Offset 221053432148096)	2024-07-04 10:44:43.000000 UTC	1600-10-23 01:37:25.000000 UTC	N/A	N/A
ThrdScan	Thread: Tid 72 in Pid 4 (Offset 221053432160384)	2024-07-04 10:44:43.000000 UTC	1600-10-23 01:37:25.000000 UTC	N/A	N/A
ThrdScan	Thread: Tid 88 in Pid 4 (Offset 221053432168576)	2024-07-04 10:44:43.000000 UTC	1600-10-23 01:37:25.000000 UTC	N/A	N/A
ThrdScan	Thread: Tid 120 in Pid 4 (Offset 221053432209536)	2024-07-04 10:44:43.000000 UTC	1600-10-23 01:37:25.000000 UTC	N/A	N/A
ThrdScan	Thread: Tid 80 in Pid 4 (Offset 221053432262784)	2024-07-04 10:44:43.000000 UTC	1600-10-23 01:37:25.000000 UTC	N/A	N/A
ThrdScan	Thread: Tid 84 in Pid 4 (Offset 221053432270976)	2024-07-04 10:44:43.000000 UTC	1600-10-23 01:37:25.000000 UTC	N/A	N/A
ThrdScan	Thread: Tid 108 in Pid 4 (Offset 221053432279168)	2024-07-04 10:44:43.000000 UTC	1600-10-23 01:37:25.000000 UTC	N/A	N/A
ThrdScan	Thread: Tid 112 in Pid 4 (Offset 221053432381568)	2024-07-04 10:44:43.000000 UTC	1600-10-23 01:37:25.000000 UTC	N/A	N/A
ThrdScan	Thread: Tid 48 in Pid 4 (Offset 221053432443008)	2024-07-04 10:44:43.000000 UTC	1600-10-23 01:37:25.000000 UTC	N/A	N/A
ThrdScan	Thread: Tid 124 in Pid 4 (Offset 221053432475776)	2024-07-04 10:44:43.000000 UTC	1600-10-23 01:37:25.000000 UTC	N/A	N/A
ThrdScan	Thread: Tid 128 in Pid 4 (Offset 221053432492160)	2024-07-04 10:44:43.000000 UTC	1600-10-23 01:37:25.000000 UTC	N/A	N/A
ThrdScan	Thread: Tid 132 in Pid 4 (Offset 221053432500352)	2024-07-04 10:44:43.000000 UTC	1600-10-23 01:37:25.000000 UTC	N/A	N/A
ThrdScan	Thread: Tid 44 in Pid 4 (Offset 221053432512640)	2024-07-04 10:44:43.000000 UTC	1600-10-23 01:37:25.000000 UTC	N/A	N/A
ThrdScan	Thread: Tid 144 in Pid 4 (Offset 221053432537216)	2024-07-04 10:44:43.000000 UTC	1600-10-23 01:37:25.000000 UTC	N/A	N/A
ThrdScan	Thread: Tid 148 in Pid 4 (Offset 221053432545408)	2024-07-04 10:44:43.000000 UTC	1600-10-23 01:37:25.000000 UTC	N/A	N/A
ThrdScan	Thread: Tid 152 in Pid 4 (Offset 221053432561792)	2024-07-04 10:44:43.000000 UTC	1600-10-23 01:37:25.000000 UTC	N/A	N/A
ThrdScan	Thread: Tid 156 in Pid 4 (Offset 221053432569984)	2024-07-04 10:44:43.000000 UTC	1600-10-23 01:37:25.000000 UTC	N/A	N/A
ThrdScan	Thread: Tid 40 in Pid 4 (Offset 221053432582272)	2024-07-04 10:44:43.000000 UTC	1600-10-23 01:37:25.000000 UTC	N/A	N/A
ThrdScan	Thread: Tid 168 in Pid 4 (Offset 221053432606848)	2024-07-04 10:44:43.000000 UTC	1600-10-23 01:37:25.000000 UTC	N/A	N/A
ThrdScan	Thread: Tid 172 in Pid 4 (Offset 221053432615040)	2024-07-04 10:44:43.000000 UTC	1600-10-23 01:37:25.000000 UTC	N/A	N/A
ThrdScan	Thread: Tid 176 in Pid 4 (Offset 221053432631424)	2024-07-04 10:44:43.000000 UTC	1600-10-23 01:37:25.000000 UTC	N/A	N/A
ThrdScan	Thread: Tid 184 in Pid 4 (Offset 221053432639616)	2024-07-04 10:44:43.000000 UTC	1600-10-23 01:37:25.000000 UTC	N/A	N/A
ThrdScan	Thread: Tid 68 in Pid 4 (Offset 221053432651904)	2024-07-04 10:44:43.000000 UTC	1600-10-23 01:37:25.000000 UTC	N/A	N/A
ThrdScan	Thread: Tid 188 in Pid 4 (Offset 221053432668288)	2024-07-04 10:44:43.000000 UTC	1600-10-23 01:37:25.000000 UTC	N/A	N/A
ThrdScan	Thread: Tid 192 in Pid 4 (Offset 221053432676480)	2024-07-04 10:44:43.000000 UTC	1600-10-23 01:37:25.000000 UTC	N/A	N/A
ThrdScan	Thread: Tid 196 in Pid 4 (Offset 221053432684672)	2024-07-04 10:44:43.000000 UTC	1600-10-23 01:37:25.000000 UTC	N/A	N/A
ThrdScan	Thread: Tid 200 in Pid 4 (Offset 221053432692864)	2024-07-04 10:44:43.000000 UTC	1600-10-23 01:37:25.000000 UTC	N/A	N/A
ThrdScan	Thread: Tid 52 in Pid 4 (Offset 221053432721536)	2024-07-04 10:44:43.000000 UTC	1600-10-23 01:37:25.000000 UTC	N/A	N/A
ThrdScan	Thread: Tid 36 in Pid 4 (Offset 221053432930432)	2024-07-04 10:44:43.000000 UTC	1600-10-23 01:37:25.000000 UTC	N/A	N/A
ThrdScan	Thread: Tid 32 in Pid 4 (Offset 221053433000064)	2024-07-04 10:44:43.000000 UTC	1600-10-23 01:37:25.000000 UTC	N/A	N/A
ThrdScan	Thread: Tid 56 in Pid 4 (Offset 221053433069696)	2024-07-04 10:44:43.000000 UTC	1600-10-23 01:37:25.000000 UTC	N/A	N/A
ThrdScan	Thread: Tid 204 in Pid 4 (Offset 221053433147520)	2024-07-04 10:44:43.000000 UTC	1600-10-23 01:37:25.000000 UTC	N/A	N/A
ThrdScan	Thread: Tid 28 in Pid 4 (Offset 221053433188672)	2024-07-04 10:44:43.000000 UTC	1600-10-23 01:37:25.000000 UTC	N/A	N/A
ThrdScan	Thread: Tid 76 in Pid 4 (Offset 221053433208960)	2024-07-04 10:44:43.000000 UTC	1600-10-23 01:37:25.000000 UTC	N/A	N/A
Threads	Thread: Tid 28 in Pid 4 (Offset 221053433188672)	2024-07-04 10:44:43.000000 UTC	1600-10-23 01:37:25.000000 UTC	N/A	N/A
Threads	Thread: Tid 32 in Pid 4 (Offset 221053433000064)	2024-07-04 10:44:43.000000 UTC	1600-10-23 01:37:25.000000 UTC	N/A	N/A
Threads	Thread: Tid 36 in Pid 4 (Offset 221053432930432)	2024-07-04 10:44:43.000000 UTC	1600-10-23 01:37:25.000000 UTC	N/A	N/A
Threads	Thread: Tid 40 in Pid 4 (Offset 221053432582272)	2024-07-04 10:44:43.000000 UTC	1600-10-23 01:37:25.000000 UTC	N/A	N/A
Threads	Thread: Tid 44 in Pid 4 (Offset 221053432512640)	2024-07-04 10:44:43.000000 UTC	1600-10-23 01:37:25.000000 UTC	N/A	N/A
Threads	Thread: Tid 48 in Pid 4 (Offset 221053432443008)	2024-07-04 10:44:43.000000 UTC	1600-10-23 01:37:25.000000 UTC	N/A	N/A
Threads	Thread: Tid 52 in Pid 4 (Offset 221053432721536)	2024-07-04 10:44:43.000000 UTC	1600-10-23 01:37:25.000000 UTC	N/A	N/A
Threads	Thread: Tid 56 in Pid 4 (Offset 221053433069696)	2024-07-04 10:44:43.000000 UTC	1600-10-23 01:37:25.000000 UTC	N/A	N/A
Threads	Thread: Tid 68 in Pid 4 (Offset 221053432651904)	2024-07-04 10:44:43.000000 UTC	1600-10-23 01:37:25.000000 UTC	N/A	N/A
Threads	Thread: Tid 72 in Pid 4 (Offset 221053432160384)	2024-07-04 10:44:43.000000 UTC	1600-10-23 01:37:25.000000 UTC	N/A	N/A
Threads	Thread: Tid 76 in Pid 4 (Offset 221053433208960)	2024-07-04 10:44:43.000000 UTC	1600-10-23 01:37:25.000000 UTC	N/A	N/A
Threads	Thread: Tid 80 in Pid 4 (Offset 221053432262784)	2024-07-04 10:44:43.000000 UTC	1600-10-23 01:37:25.000000 UTC	N/A	N/A
Threads	Thread: Tid 84 in Pid 4 (Offset 221053432270976)	2024-07-04 10:44:43.000000 UTC	1600-10-23 01:37:25.000000 UTC	N/A	N/A
Threads	Thread: Tid 88 in Pid 4 (Offset 221053432168576)	2024-07-04 10:44:43.000000 UTC	1600-10-23 01:37:25.000000 UTC	N/A	N/A
Threads	Thread: Tid 100 in Pid 4 (Offset 221053432148096)	2024-07-04 10:44:43.000000 UTC	1600-10-23 01:37:25.000000 UTC	N/A	N/A
Threads	Thread: Tid 104 in Pid 4 (Offset 221053432139904)	2024-07-04 10:44:43.000000 UTC	1600-10-23 01:37:25.000000 UTC	N/A	N/A
Threads	Thread: Tid 108 in Pid 4 (Offset 221053432279168)	2024-07-04 10:44:43.000000 UTC	1600-10-23 01:37:25.000000 UTC	N/A	N/A
Threads	Thread: Tid 112 in Pid 4 (Offset 221053432381568)	2024-07-04 10:44:43.000000 UTC	1600-10-23 01:37:25.000000 UTC	N/A	N/A
Threads	Thread: Tid 120 in Pid 4 (Offset 221053432209536)	2024-07-04 10:44:43.000000 UTC	1600-10-23 01:37:25.000000 UTC	N/A	N/A
Threads	Thread: Tid 124 in Pid 4 (Offset 221053432475776)	2024-07-04 10:44:43.000000 UTC	1600-10-23 01:37:25.000000 UTC	N/A	N/A
Threads	Thread: Tid 128 in Pid 4 (Offset 221053432492160)	2024-07-04 10:44:43.000000 UTC	1600-10-23 01:37:25.000000 UTC	N/A	N/A
Threads	Thread: Tid 132 in Pid 4 (Offset 221053432500352)	2024-07-04 10:44:43.000000 UTC	1600-10-23 01:37:25.000000 UTC	N/A	N/A
Threads	Thread: Tid 136 in Pid 4 (Offset 221053432107136)	2024-07-04 10:44:43.000000 UTC	1600-10-23 01:37:25.000000 UTC	N/A	N/A
Threads	Thread: Tid 140 in Pid 4 (Offset 221053432123520)	2024-07-04 10:44:43.000000 UTC	1600-10-23 01:37:25.000000 UTC	N/A	N/A
Threads	Thread: Tid 144 in Pid 4 (Offset 221053432537216)	2024-07-04 10:44:43.000000 UTC	1600-10-23 01:37:25.000000 UTC	N/A	N/A
Threads	Thread: Tid 148 in Pid 4 (Offset 221053432545408)	2024-07-04 10:44:43.000000 UTC	1600-10-23 01:37:25.000000 UTC	N/A	N/A
Threads	Thread: Tid 152 in Pid 4 (Offset 221053432561792)	2024-07-04 10:44:43.000000 UTC	1600-10-23 01:37:25.000000 UTC	N/A	N/A
Threads	Thread: Tid 156 in Pid 4 (Offset 221053432569984)	2024-07-04 10:44:43.000000 UTC	1600-10-23 01:37:25.000000 UTC	N/A	N/A
Threads	Thread: Tid 160 in Pid 4 (Offset 221053432098944)	2024-07-04 10:44:43.000000 UTC	1600-10-23 01:37:25.000000 UTC	N/A	N/A
Threads	Thread: Tid 164 in Pid 4 (Offset 221053432115328)	2024-07-04 10:44:43.000000 UTC	1600-10-23 01:37:25.000000 UTC	N/A	N/A
Threads	Thread: Tid 168 in Pid 4 (Offset 221053432606848)	2024-07-04 10:44:43.000000 UTC	1600-10-23 01:37:25.000000 UTC	N/A	N/A
Threads	Thread: Tid 172 in Pid 4 (Offset 221053432615040)	2024-07-04 10:44:43.000000 UTC	1600-10-23 01:37:25.000000 UTC	N/A	N/A
Threads	Thread: Tid 176 in Pid 4 (Offset 221053432631424)	2024-07-04 10:44:43.000000 UTC	1600-10-23 01:37:25.000000 UTC	N/A	N/A
Threads	Thread: Tid 184 in Pid 4 (Offset 221053432639616)	2024-07-04 10:44:43.000000 UTC	1600-10-23 01:37:25.000000 UTC	N/A	N/A
Threads	Thread: Tid 188 in Pid 4 (Offset 221053432668288)	2024-07-04 10:44:43.000000 UTC	1600-10-23 01:37:25.000000 UTC	N/A	N/A
Threads	Thread: Tid 192 in Pid 4 (Offset 221053432676480)	2024-07-04 10:44:43.000000 UTC	1600-10-23 01:37:25.000000 UTC	N/A	N/A
Threads	Thread: Tid 196 in Pid 4 (Offset 221053432684672)	2024-07-04 10:44:43.000000 UTC	1600-10-23 01:37:25.000000 UTC	N/A	N/A
Threads	Thread: Tid 200 in Pid 4 (Offset 221053432692864)	2024-07-04 10:44:43.000000 UTC	1600-10-23 01:37:25.000000 UTC	N/A	N/A
