Volatility 3 Framework 2.26.2

PID	Process	Offset	Start VPN	End VPN	Tag	Protection	CommitCharge	PrivateMemory	Parent	File	File output

3692	powershell.exe	0xffffc90c081181b0	0x7fff4e830000	0x7fff4e86ffff	VadS	PAGE_NOACCESS	64	1	0x0	N/A	Disabled
3692	powershell.exe	0xffffc90c0d4668a0	0x1cb6cc50000	0x1cb6cdcbfff	Vad 	PAGE_EXECUTE_WRITECOPY	1	0	0xffffc90c081181b0	\Windows\Microsoft.NET\assembly\GAC_MSIL\System.Core\v4.0_4.0.0.0__b77a5c561934e089\System.Core.dll	Disabled
3692	powershell.exe	0xffffc90c0c309ba0	0x1cb6a8a0000	0x1cb6a8a0fff	Vad 	PAGE_READONLY	0	0	0xffffc90c0d4668a0	N/A	Disabled
3692	powershell.exe	0xffffc90c0f03bc10	0x25d3980000	0x25d39fffff	VadS	PAGE_READWRITE	5	1	0xffffc90c0c309ba0	N/A	Disabled
3692	powershell.exe	0xffffc90c08119420	0x25d3680000	0x25d36fffff	VadS	PAGE_READWRITE	5	1	0xffffc90c0f03bc10	N/A	Disabled
3692	powershell.exe	0xffffc90c0e769e20	0x25d3400000	0x25d35fffff	VadS	PAGE_READWRITE	35	1	0xffffc90c08119420	N/A	Disabled
3692	powershell.exe	0xffffc90c0e769380	0x7ffef000	0x7ffeffff	VadS	PAGE_READONLY	1	1	0xffffc90c0e769e20	N/A	Disabled
3692	powershell.exe	0xffffc90c0e7687f0	0x7ffe0000	0x7ffe0fff	VadS	PAGE_READONLY	1	1	0xffffc90c0e769380	N/A	Disabled
3692	powershell.exe	0xffffc90c0e76a2d0	0x25d3370000	0x25d33effff	VadS	PAGE_READWRITE	20	1	0xffffc90c0e769380	N/A	Disabled
3692	powershell.exe	0xffffc90c08118c50	0x25d3600000	0x25d367ffff	VadS	PAGE_READWRITE	5	1	0xffffc90c0e769e20	N/A	Disabled
3692	powershell.exe	0xffffc90c0f03b7b0	0x25d3880000	0x25d38fffff	VadS	PAGE_READWRITE	5	1	0xffffc90c08119420	N/A	Disabled
3692	powershell.exe	0xffffc90c07ed3470	0x25d3780000	0x25d37fffff	VadS	PAGE_READWRITE	7	1	0xffffc90c0f03b7b0	N/A	Disabled
3692	powershell.exe	0xffffc90c07ebd9e0	0x25d3700000	0x25d377ffff	VadS	PAGE_READWRITE	5	1	0xffffc90c07ed3470	N/A	Disabled
3692	powershell.exe	0xffffc90c07ed4320	0x25d3800000	0x25d387ffff	VadS	PAGE_READWRITE	8	1	0xffffc90c07ed3470	N/A	Disabled
3692	powershell.exe	0xffffc90c0f03b8f0	0x25d3900000	0x25d397ffff	VadS	PAGE_READWRITE	5	1	0xffffc90c0f03b7b0	N/A	Disabled
3692	powershell.exe	0xffffc90c0f03d790	0x25d3c40000	0x25d3cbffff	VadS	PAGE_READWRITE	7	1	0xffffc90c0f03bc10	N/A	Disabled
3692	powershell.exe	0xffffc90c0f03ba80	0x25d3b40000	0x25d3bbffff	VadS	PAGE_READWRITE	8	1	0xffffc90c0f03d790	N/A	Disabled
3692	powershell.exe	0xffffc90c0f03bd00	0x25d3ac0000	0x25d3b3ffff	VadS	PAGE_READWRITE	19	1	0xffffc90c0f03ba80	N/A	Disabled
3692	powershell.exe	0xffffc90c0f03bcb0	0x25d3a00000	0x25d3a7ffff	VadS	PAGE_READWRITE	16	1	0xffffc90c0f03bd00	N/A	Disabled
3692	powershell.exe	0xffffc90c0f03d2e0	0x25d3bc0000	0x25d3c3ffff	VadS	PAGE_READWRITE	5	1	0xffffc90c0f03ba80	N/A	Disabled
3692	powershell.exe	0xffffc90c0c30a640	0x1cb6a850000	0x1cb6a850fff	Vad 	PAGE_READONLY	0	0	0xffffc90c0f03d790	N/A	Disabled
3692	powershell.exe	0xffffc90c0f03ed20	0x25d3d40000	0x25d3dbffff	VadS	PAGE_READWRITE	9	1	0xffffc90c0c30a640	N/A	Disabled
3692	powershell.exe	0xffffc90c0f03dc90	0x25d3cc0000	0x25d3d3ffff	VadS	PAGE_READWRITE	14	1	0xffffc90c0f03ed20	N/A	Disabled
3692	powershell.exe	0xffffc90c07ed4140	0x1cb00000000	0x1cb17ffffff	VadS	PAGE_READWRITE	1402	1	0xffffc90c0f03ed20	N/A	Disabled
3692	powershell.exe	0xffffc90c0f040850	0x25d3dc0000	0x25d474ffff	VadS	PAGE_READWRITE	2447	1	0xffffc90c07ed4140	N/A	Disabled
3692	powershell.exe	0xffffc90c0c302da0	0x1cb6a870000	0x1cb6a88cfff	Vad 	PAGE_READONLY	0	0	0xffffc90c0c30a640	N/A	Disabled
3692	powershell.exe	0xffffc90c0c30be00	0x1cb6a860000	0x1cb6a860fff	Vad 	PAGE_READONLY	0	0	0xffffc90c0c302da0	N/A	Disabled
3692	powershell.exe	0xffffc90c0c303b60	0x1cb6a890000	0x1cb6a893fff	Vad 	PAGE_READONLY	0	0	0xffffc90c0c302da0	N/A	Disabled
3692	powershell.exe	0xffffc90c0c31ac20	0x1cb6ad30000	0x1cb6af2ffff	Vad 	PAGE_READONLY	0	0	0xffffc90c0c309ba0	N/A	Disabled
3692	powershell.exe	0xffffc90c0e76b720	0x1cb6aa60000	0x1cb6ab5ffff	VadS	PAGE_READWRITE	255	1	0xffffc90c0c31ac20	N/A	Disabled
3692	powershell.exe	0xffffc90c0c31e960	0x1cb6a9e0000	0x1cb6a9e2fff	Vad 	PAGE_READONLY	0	0	0xffffc90c0e76b720	\Windows\System32\WindowsPowerShell\v1.0\en-US\powershell.exe.mui	Disabled
3692	powershell.exe	0xffffc90c0c30c1c0	0x1cb6a8e0000	0x1cb6a9a8fff	Vad 	PAGE_READONLY	0	0	0xffffc90c0c31e960	\Windows\System32\locale.nls	Disabled
3692	powershell.exe	0xffffc90c0c30bb80	0x1cb6a8c0000	0x1cb6a8c0fff	Vad 	PAGE_READONLY	0	0	0xffffc90c0c30c1c0	N/A	Disabled
3692	powershell.exe	0xffffc90c0e76a370	0x1cb6a8b0000	0x1cb6a8b1fff	VadS	PAGE_READWRITE	2	1	0xffffc90c0c30bb80	N/A	Disabled
3692	powershell.exe	0xffffc90c0c30b360	0x1cb6a8d0000	0x1cb6a8dffff	Vad 	PAGE_READWRITE	0	0	0xffffc90c0c30bb80	N/A	Disabled
3692	powershell.exe	0xffffc90c07ec0280	0x1cb6a9c0000	0x1cb6a9c6fff	VadS	PAGE_READWRITE	1	1	0xffffc90c0c30c1c0	N/A	Disabled
3692	powershell.exe	0xffffc90c08118fc0	0x1cb6a9b0000	0x1cb6a9b6fff	VadS	PAGE_READWRITE	5	1	0xffffc90c07ec0280	N/A	Disabled
3692	powershell.exe	0xffffc90c0c31b8a0	0x1cb6a9d0000	0x1cb6a9d7fff	Vad 	PAGE_READONLY	0	0	0xffffc90c07ec0280	N/A	Disabled
3692	powershell.exe	0xffffc90c07ecd2f0	0x1cb6aa20000	0x1cb6aa2ffff	VadS	PAGE_READWRITE	3	1	0xffffc90c0c31e960	N/A	Disabled
3692	powershell.exe	0xffffc90c0c320300	0x1cb6aa00000	0x1cb6aa00fff	Vad 	PAGE_READWRITE	0	0	0xffffc90c07ecd2f0	N/A	Disabled
3692	powershell.exe	0xffffc90c07ec7f80	0x1cb6a9f0000	0x1cb6a9f6fff	VadS	PAGE_READWRITE	1	1	0xffffc90c0c320300	N/A	Disabled
3692	powershell.exe	0xffffc90c0c320e40	0x1cb6aa10000	0x1cb6aa1ffff	Vad 	PAGE_READWRITE	0	0	0xffffc90c0c320300	N/A	Disabled
3692	powershell.exe	0xffffc90c07ed3330	0x1cb6aa40000	0x1cb6aa40fff	VadS	PAGE_READWRITE	1	1	0xffffc90c07ecd2f0	N/A	Disabled
3692	powershell.exe	0xffffc90c07ed3010	0x1cb6aa30000	0x1cb6aa30fff	VadS	PAGE_READWRITE	1	1	0xffffc90c07ed3330	N/A	Disabled
3692	powershell.exe	0xffffc90c07ed3560	0x1cb6aa50000	0x1cb6aa5ffff	VadS	PAGE_EXECUTE_READWRITE	2	1	0xffffc90c07ed3330	N/A	Disabled
3692	powershell.exe	0xffffc90c07ed3a60	0x1cb6acf0000	0x1cb6acfffff	VadS	PAGE_READWRITE	2	1	0xffffc90c0e76b720	N/A	Disabled
3692	powershell.exe	0xffffc90c0c31c980	0x1cb6ab60000	0x1cb6ace0fff	Vad 	PAGE_READONLY	0	0	0xffffc90c07ed3a60	N/A	Disabled
3692	powershell.exe	0xffffc90c03aeee20	0x1cb6ad10000	0x1cb6ad1ffff	VadS	PAGE_READWRITE	16	1	0xffffc90c07ed3a60	N/A	Disabled
3692	powershell.exe	0xffffc90c07ed7b10	0x1cb6ad00000	0x1cb6ad0ffff	VadS	PAGE_READWRITE	16	1	0xffffc90c03aeee20	N/A	Disabled
3692	powershell.exe	0xffffc90c07ebf0b0	0x1cb6ad20000	0x1cb6ad2ffff	VadS	PAGE_READWRITE	15	1	0xffffc90c03aeee20	N/A	Disabled
3692	powershell.exe	0xffffc90c07ec7bc0	0x1cb6c4b0000	0x1cb6c4bffff	VadS	PAGE_READWRITE	8	1	0xffffc90c0c31ac20	N/A	Disabled
3692	powershell.exe	0xffffc90c0cd78520	0x1cb6c3d0000	0x1cb6c3d4fff	Vad 	PAGE_READONLY	0	0	0xffffc90c07ec7bc0	\Windows\System32\winnlsres.dll	Disabled
3692	powershell.exe	0xffffc90c0d475580	0x1cb6c3b0000	0x1cb6c3b0fff	Vad 	PAGE_READONLY	0	0	0xffffc90c0cd78520	N/A	Disabled
3692	powershell.exe	0xffffc90c07ed4050	0x1cb6c340000	0x1cb6c3affff	VadS	PAGE_READWRITE	97	1	0xffffc90c0d475580	N/A	Disabled
3692	powershell.exe	0xffffc90c0c31e8c0	0x1cb6af30000	0x1cb6c330fff	Vad 	PAGE_READONLY	0	0	0xffffc90c07ed4050	N/A	Disabled
3692	powershell.exe	0xffffc90c0e7595c0	0x1cb6c3c0000	0x1cb6c3cffff	VadS	PAGE_READWRITE	1	1	0xffffc90c0d475580	N/A	Disabled
3692	powershell.exe	0xffffc90c07ed3830	0x1cb6c400000	0x1cb6c40ffff	VadS	PAGE_READWRITE	2	1	0xffffc90c0cd78520	N/A	Disabled
3692	powershell.exe	0xffffc90c0cd792e0	0x1cb6c3f0000	0x1cb6c3fffff	Vad 	PAGE_READONLY	0	0	0xffffc90c07ed3830	\Windows\System32\en-US\winnlsres.dll.mui	Disabled
3692	powershell.exe	0xffffc90c0f03d650	0x1cb6c3e0000	0x1cb6c3e6fff	VadS	PAGE_EXECUTE_READWRITE	1	1	0xffffc90c0cd792e0	N/A	Disabled
3692	powershell.exe	0xffffc90c0d477600	0x1cb6c450000	0x1cb6c496fff	Vad 	PAGE_WRITECOPY	71	0	0xffffc90c07ed3830	N/A	Disabled
3692	powershell.exe	0xffffc90c0c322060	0x1cb6c410000	0x1cb6c445fff	Vad 	PAGE_EXECUTE_WRITECOPY	1	0	0xffffc90c0d477600	\Windows\Microsoft.NET\assembly\GAC_MSIL\Microsoft.PowerShell.ConsoleHost\v4.0_3.0.0.0__31bf3856ad364e35\Microsoft.PowerShell.ConsoleHost.dll	Disabled
3692	powershell.exe	0xffffc90c0cd79f60	0x1cb6c4a0000	0x1cb6c4a9fff	Vad 	PAGE_READONLY	0	0	0xffffc90c0d477600	\Windows\System32\en-US\crypt32.dll.mui	Disabled
3692	powershell.exe	0xffffc90c0cd79060	0x1cb6ca50000	0x1cb6cab1fff	Vad 	PAGE_READONLY	0	0	0xffffc90c07ec7bc0	\Windows\Microsoft.NET\Framework64\v4.0.30319\mscorrc.dll	Disabled
3692	powershell.exe	0xffffc90c0f03a4a0	0x1cb6c910000	0x1cb6ca0ffff	VadS	PAGE_READWRITE	255	1	0xffffc90c0cd79060	N/A	Disabled
3692	powershell.exe	0xffffc90c07ed4230	0x1cb6c800000	0x1cb6c905fff	VadS	PAGE_READWRITE	257	1	0xffffc90c0f03a4a0	N/A	Disabled
3692	powershell.exe	0xffffc90c0c31fb80	0x1cb6c4c0000	0x1cb6c7f7fff	Vad 	PAGE_READONLY	0	0	0xffffc90c07ed4230	\Windows\Globalization\Sorting\SortDefault.nls	Disabled
3692	powershell.exe	0xffffc90c0cd8b4e0	0x1cb6ca30000	0x1cb6ca4dfff	Vad 	PAGE_EXECUTE_WRITECOPY	1	0	0xffffc90c0f03a4a0	\Windows\Microsoft.NET\assembly\GAC_MSIL\Microsoft.PowerShell.Security\v4.0_3.0.0.0__31bf3856ad364e35\Microsoft.PowerShell.Security.dll	Disabled
3692	powershell.exe	0xffffc90c0cd8bbc0	0x1cb6cb10000	0x1cb6cb5efff	Vad 	PAGE_EXECUTE_WRITECOPY	3	0	0xffffc90c0cd79060	\Windows\Microsoft.NET\assembly\GAC_64\System.Transactions\v4.0_4.0.0.0__b77a5c561934e089\System.Transactions.dll	Disabled
3692	powershell.exe	0xffffc90c0cd7bcc0	0x1cb6cad0000	0x1cb6caf3fff	Vad 	PAGE_EXECUTE_WRITECOPY	1	0	0xffffc90c0cd8bbc0	\Windows\Microsoft.NET\assembly\GAC_MSIL\Microsoft.Management.Infrastructure\v4.0_1.0.0.0__31bf3856ad364e35\Microsoft.Management.Infrastructure.dll	Disabled
3692	powershell.exe	0xffffc90c0e76f0f0	0x1cb6cac0000	0x1cb6cacffff	VadS	PAGE_EXECUTE_READWRITE	9	1	0xffffc90c0cd7bcc0	N/A	Disabled
